Number of Threads: 1
[FD_1d]:step 25400, energy = -0.6683300582676883, norm = 1.0000000000002933 + 0.0im
[FD_1d]:step 25600, energy = -0.6695993783284987, norm = 1.000000000000294 + 0.0im
[FD_1d]:step 25800, energy = -0.6672518871707886, norm = 1.000000000000289 + 0.0im
[FD_1d]:step 26000, energy = -0.6631057914177699, norm = 1.0000000000002742 + 0.0im
[FD_1d]:step 26200, energy = -0.6617621966950268, norm = 1.0000000000002334 + 0.0im
[FD_1d]:step 26400, energy = -0.6656366084518843, norm = 1.0000000000001712 + 0.0im
[FD_1d]:step 26600, energy = -0.6691565478526743, norm = 1.000000000000084 + 0.0im
[FD_1d]:step 26800, energy = -0.6686496872606892, norm = 0.999999999999815 + 0.0im
[FD_1d]:step 27000, energy = -0.6646388503266398, norm = 0.9999999999990727 + 0.0im
[FD_1d]:step 27200, energy = -0.6606147098743392, norm = 0.9999999999976763 + 0.0im
[FD_1d]:step 27400, energy = -0.6622789909487655, norm = 0.9999999999932231 + 0.0im
[FD_1d]:step 27600, energy = -0.6676126043642538, norm = 0.9999999999810663 + 0.0im
[FD_1d]:step 27800, energy = -0.6692085824660688, norm = 0.9999999999534088 + 0.0im
[FD_1d]:step 28000, energy = -0.6658904685977467, norm = 0.9999999999044574 + 0.0im
[FD_1d]:step 28200, energy = -0.6600200087296404, norm = 0.9999999998102995 + 0.0im
[FD_1d]:step 28400, energy = -0.6572167279202906, norm = 0.9999999995492995 + 0.0im
[FD_1d]:step 28600, energy = -0.6629012275998136, norm = 0.9999999988597399 + 0.0im
[FD_1d]:step 28800, energy = -0.6678231735193032, norm = 0.9999999973181408 + 0.0im
[FD_1d]:step 29000, energy = -0.6674534985386327, norm = 0.9999999933148194 + 0.0im
[FD_1d]:step 29200, energy = -0.6630550975715854, norm = 0.9999999821448874 + 0.0im
[FD_1d]:step 29400, energy = -0.657772054734328, norm = 0.9999999404727437 + 0.0im
[FD_1d]:step 29600, energy = -0.6601833158777427, norm = 0.9999998344980859 + 0.0im
[FD_1d]:step 29800, energy = -0.6658448651241489, norm = 0.9999996834729177 + 0.0im
[FD_1d]:step 30000, energy = -0.6676227899373657, norm = 0.9999995273547142 + 0.0im
[FD_1d]:step 30200, energy = -0.6637204541707906, norm = 0.9999993600902852 + 0.0im
[FD_1d]:step 30400, energy = -0.6577126015164209, norm = 0.9999991333746281 + 0.0im
[FD_1d]:step 30600, energy = -0.6538437748182331, norm = 0.9999987373282571 + 0.0im
[FD_1d]:step 30800, energy = -0.6603944162712154, norm = 0.9999980114550617 + 0.0im
[FD_1d]:step 31000, energy = -0.6654980439408005, norm = 0.9999969878388998 + 0.0im
[FD_1d]:step 31200, energy = -0.6653718350528831, norm = 0.9999958395929222 + 0.0im
[FD_1d]:step 31400, energy = -0.6615375539338224, norm = 0.9999928108595751 + 0.0im
